Month,OrdinalDate,WaterTemperature,Conductivity,EmbryoMidlineLength,MembraneAverage,MembraneStandardDeviation,MembraneCoefficientOfVariation,PerivittelineSpaceIndex,EmbryoAverage,EmbryoStandardDeviation,EmbryoCoefficientOfVariation,EggStage,DefinableEmbryo,PigmentPresence,DebrisAdhesion,DeflatedMembrane,Common.name,Family,Genus,Species,Common.name.IC,Family.IC,Genus.IC,Species.IC
6,172,26.3,473,4.011692,4.06573775,0.057883744,0.014236959,0.381741727,1.55206175,0.265259614,0.1709079,8,Y,N,N,N,Grass Carp,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,IC,IC,IC,IC
6,164,22.1,316,3.359507,3.36114925,0.099263198,0.029532517,0.509024339,1.710906775,0.736448918,0.430443627,7,Y,N,N,N,Grass Carp,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,IC,IC,IC,IC
5,147,19.9,332,3.383683,2.84345225,0.408625797,0.143707635,0.448821059,1.27620125,0.28569333,0.223862287,8,Y,N,N,N,Grass Carp,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,IC,IC,IC,IC
6,172,25.2,367,0,3.85452075,0.137097739,0.035568038,0.453900851,1.74957025,0.079339417,0.045347946,6,Y,N,N,N,Grass Carp,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,IC,IC,IC,IC
5,147,20.7,307,0,4.16978575,0.103000612,0.024701656,0.372711236,1.554126,0.127068565,0.081762074,5,Y,N,N,N,Grass Carp,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,IC,IC,IC,IC
5,147,20.7,307,0,4.002989,0.104210714,0.026033225,0.397824413,1.59248675,0.169270462,0.106293168,4,Y,N,N,N,Grass Carp,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,IC,IC,IC,IC
6,172,25.1,340,4.092601,3.42740925,0.074658979,0.021782919,0.414735766,1.4214692,0.297220284,0.209093721,8,Y,N,N,N,Grass Carp,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,IC,IC,IC,IC
6,172,25.1,340,4.081192,4.55996075,0.108475223,0.023788631,0.315372177,1.43808475,0.199229221,0.138537886,8,Y,N,N,N,Grass Carp,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,IC,IC,IC,IC
6,172,26.3,473,0,NA,NA,NA,NA,1.3909598,0.065366278,NA,5,Y,N,N,NoMembrane,Grass Carp,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,IC,IC,IC,IC
6,172,26.3,473,0,NA,NA,NA,NA,1.489945,0.114750355,NA,5,Y,N,N,NoMembrane,Grass Carp,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,IC,IC,IC,IC
6,172,25.4,393,0,NA,NA,NA,NA,1.71496575,0.362622791,NA,6,Y,N,N,NoMembrane,Grass Carp,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,IC,IC,IC,IC
6,172,26.3,473,3.556392,NA,NA,NA,NA,1.51461425,0.22033193,NA,8,Y,N,N,NoMembrane,Grass Carp,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,IC,IC,IC,IC
6,172,26.3,473,0,NA,NA,NA,NA,1.30412575,0.042579057,NA,5,Y,N,N,NoMembrane,Grass Carp,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,IC,IC,IC,IC
6,172,26.3,473,0,NA,NA,NA,NA,1.5778505,0.171602048,NA,4,Y,N,N,NoMembrane,Grass Carp,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,IC,IC,IC,IC
6,172,26.3,473,4.892557,NA,NA,NA,NA,1.71493275,0.48964817,NA,8,Y,N,N,NoMembrane,Grass Carp,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,IC,IC,IC,IC
6,172,26.3,473,0,NA,NA,NA,NA,1.8437645,0.38103781,NA,4,Y,N,N,NoMembrane,Grass Carp,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,IC,IC,IC,IC
6,172,26.3,473,4.128119,4.194493,0.379642752,0.090509807,0.316266471,1.3265775,0.231556821,0.174552049,8,Y,N,N,Y,Grass Carp,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,IC,IC,IC,IC
6,172,26.3,473,4.478951,3.802229,0.597556669,0.157159569,0.37960332,1.44333875,0.202692315,0.140432948,8,Y,N,N,Y,Grass Carp,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,IC,IC,IC,IC
6,172,25.4,393,0,3.70150125,0.283659294,0.07663358,0.466652416,1.7273145,0.36739319,0.212696176,5,Y,N,N,Y,Grass Carp,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,IC,IC,IC,IC
6,172,26.3,473,0,4.4041735,0.076041337,0.017265745,0.350339286,1.542955,0.229042514,0.148444066,6,Y,N,N,Y,Grass Carp,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,IC,IC,IC,IC
6,172,26.3,473,0,4.45718175,0.443513212,0.099505301,0.342859476,1.528187,0.123815845,0.081021397,5,Y,N,N,Y,Grass Carp,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,IC,IC,IC,IC
5,147,19.9,328,3.463867,3.566121,0.068345733,0.019165287,0.333418089,1.18900925,0.159699515,0.134313098,8,Y,N,N,Y,Grass Carp,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,IC,IC,IC,IC
6,172,25.4,393,3.654253,4.15389875,0.251871109,0.06063487,0.500549893,2.079233575,0.804131339,0.38674411,7,Y,N,N,Y,Grass Carp,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,IC,IC,IC,IC
6,172,25.4,393,3.206851,2.548389225,0.795190486,0.312036512,0.875733955,2.231710975,0.881056718,0.394789795,8,Y,N,Y,Y,Grass Carp,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,IC,IC,IC,IC
5,147,19.9,328,3.830542,3.32939175,0.335902838,0.100890151,0.361513691,1.2036207,0.187834457,0.156057848,8,Y,N,N,Y,Grass Carp,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,IC,IC,IC,IC
6,172,25.4,393,4.021244,3.6676195,0.568870867,0.155106294,0.584413432,2.1434061,1.224377727,0.571229935,8,Y,N,Y,Y,Grass Carp,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,IC,IC,IC,IC
6,172,25.4,393,3.102013,3.853814,0.251063132,0.065146666,0.526794417,2.0301677,0.99498798,0.490101374,7,Y,N,N,Y,Grass Carp,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,IC,IC,IC,IC
6,172,25.4,393,0,2.98093425,1.044645672,0.350442373,0.54611654,1.6279375,0.499703045,0.306954686,6,Y,N,N,Y,Grass Carp,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,IC,IC,IC,IC
